"filename", "language", "JSON", "Ignore", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "CSS", "TypeScript", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"d:\2023_2\DATN\web_page\.env", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\2023_2\DATN\web_page\.eslintrc.cjs", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 63
"d:\2023_2\DATN\web_page\.prettierignore", "Ignore", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\2023_2\DATN\web_page\.prettierrc", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\2023_2\DATN\web_page\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\2023_2\DATN\web_page\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\2023_2\DATN\web_page\package.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"d:\2023_2\DATN\web_page\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\2023_2\DATN\web_page\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\2023_2\DATN\web_page\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"d:\2023_2\DATN\web_page\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"d:\2023_2\DATN\web_page\src\api\AddressApiService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 5, 42
"d:\2023_2\DATN\web_page\src\api\Address\districts.json", "JSON", 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 861
"d:\2023_2\DATN\web_page\src\api\Address\province.json", "JSON", 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 381
"d:\2023_2\DATN\web_page\src\api\Address\regions.json", "JSON", 814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 815
"d:\2023_2\DATN\web_page\src\api\Address\wards.json", "JSON", 92442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92443
"d:\2023_2\DATN\web_page\src\api\address.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\2023_2\DATN\web_page\src\api\auth.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\2023_2\DATN\web_page\src\api\blog.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"d:\2023_2\DATN\web_page\src\api\order.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\2023_2\DATN\web_page\src\api\product.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\2023_2\DATN\web_page\src\api\promotion.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\2023_2\DATN\web_page\src\api\shoppingCart.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"d:\2023_2\DATN\web_page\src\api\user.api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\2023_2\DATN\web_page\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\2023_2\DATN\web_page\src\assets\svg\ArrowDownIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 5, 36
"d:\2023_2\DATN\web_page\src\assets\svg\ArrowDropDownIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"d:\2023_2\DATN\web_page\src\assets\svg\ArrowLeftDoubleIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"d:\2023_2\DATN\web_page\src\assets\svg\ArrowLeftIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"d:\2023_2\DATN\web_page\src\assets\svg\ArrowRightIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"d:\2023_2\DATN\web_page\src\assets\svg\BagCartIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\2023_2\DATN\web_page\src\assets\svg\CartIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 39
"d:\2023_2\DATN\web_page\src\assets\svg\CheckedIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"d:\2023_2\DATN\web_page\src\assets\svg\CloseIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"d:\2023_2\DATN\web_page\src\assets\svg\CommentIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"d:\2023_2\DATN\web_page\src\assets\svg\DiscountIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\2023_2\DATN\web_page\src\assets\svg\EmailIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\2023_2\DATN\web_page\src\assets\svg\EmailSmallIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\2023_2\DATN\web_page\src\assets\svg\FacebookIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\2023_2\DATN\web_page\src\assets\svg\IconImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 2, 31
"d:\2023_2\DATN\web_page\src\assets\svg\InstagramIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 5, 39
"d:\2023_2\DATN\web_page\src\assets\svg\LoadingIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"d:\2023_2\DATN\web_page\src\assets\svg\LocationIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\2023_2\DATN\web_page\src\assets\svg\MapsicoIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"d:\2023_2\DATN\web_page\src\assets\svg\MessIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 5, 39
"d:\2023_2\DATN\web_page\src\assets\svg\PhoneIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\2023_2\DATN\web_page\src\assets\svg\SearchIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\2023_2\DATN\web_page\src\assets\svg\SignOutIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"d:\2023_2\DATN\web_page\src\assets\svg\SuccessIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\2023_2\DATN\web_page\src\assets\svg\UnCheckedIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"d:\2023_2\DATN\web_page\src\assets\svg\UserIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"d:\2023_2\DATN\web_page\src\assets\svg\YoutubeIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\2023_2\DATN\web_page\src\assets\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\2023_2\DATN\web_page\src\components\Button\Button.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"d:\2023_2\DATN\web_page\src\components\Button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"d:\2023_2\DATN\web_page\src\components\Button\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\components\Footer\Footer.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"d:\2023_2\DATN\web_page\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 3, 6, 145
"d:\2023_2\DATN\web_page\src\components\Footer\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\components\Header\Header.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"d:\2023_2\DATN\web_page\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 1, 12, 276
"d:\2023_2\DATN\web_page\src\components\Header\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\components\InfiniteScroll\InfiniteScroll .tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 7, 45
"d:\2023_2\DATN\web_page\src\components\InputFile\InputFile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 5, 50
"d:\2023_2\DATN\web_page\src\components\InputFile\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\components\InputNumber\InputNumber.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 5, 47
"d:\2023_2\DATN\web_page\src\components\InputNumber\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"d:\2023_2\DATN\web_page\src\components\Input\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 1, 7, 83
