Date : 2024-06-08 11:10:49
Directory : d:\2023_2\DATN\web_page
Total : 192 files,  105419 codes, 363 comments, 997 blanks, all 106779 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     94,597 |          0 |          6 |     94,603 |
| TypeScript JSX     |         99 |      8,512 |        257 |        668 |      9,437 |
| TypeScript         |         69 |      1,903 |         86 |        257 |      2,246 |
| SCSS               |          3 |        243 |          8 |         43 |        294 |
| JavaScript         |          3 |         69 |         10 |          4 |         83 |
| CSS                |          3 |         48 |          0 |         13 |         61 |
| JSON with Comments |          1 |         22 |          2 |          3 |         27 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| XML                |          3 |          5 |          0 |          1 |          6 |
| Properties         |          1 |          3 |          0 |          0 |          3 |
| Ignore             |          1 |          2 |          0 |          0 |          2 |
| Markdown           |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        192 |    105,419 |        363 |        997 |    106,779 |
| . (Files)                                                                                                                        |         12 |        260 |         18 |         17 |        295 |
| public                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                              |        179 |    105,158 |        345 |        980 |    106,483 |
| src (Files)                                                                                                                      |          7 |        237 |         40 |         27 |        304 |
| src\api                                                                                                                          |         13 |     94,690 |          1 |         36 |     94,727 |
| src\api (Files)                                                                                                                  |          9 |        194 |          1 |         32 |        227 |
| src\api\Address                                                                                                                  |          4 |     94,496 |          0 |          4 |     94,500 |
| src\assets                                                                                                                       |         29 |        663 |          1 |        126 |        790 |
| src\assets (Files)                                                                                                               |          2 |          4 |          0 |          1 |          5 |
| src\assets\svg                                                                                                                   |         27 |        659 |          1 |        125 |        785 |
| src\components                                                                                                                   |         33 |      1,892 |         49 |        177 |      2,118 |
| src\components\Button                                                                                                            |          3 |         68 |          0 |         12 |         80 |
| src\components\Footer                                                                                                            |          3 |        157 |          3 |         11 |        171 |
| src\components\Header                                                                                                            |          3 |        277 |          1 |         17 |        295 |
| src\components\InfiniteScroll                                                                                                    |          1 |         37 |          1 |          7 |         45 |
| src\components\Input                                                                                                             |          2 |         77 |          1 |          9 |         87 |
| src\components\InputFile                                                                                                         |          2 |         46 |          1 |          7 |         54 |
| src\components\InputNumber                                                                                                       |          2 |         43 |          2 |          8 |         53 |
| src\components\Popover                                                                                                           |          2 |         78 |          2 |          9 |         89 |
| src\components\PosImage                                                                                                          |          2 |        103 |         10 |         12 |        125 |
| src\components\PosTypography                                                                                                     |          2 |        124 |          1 |         13 |        138 |
| src\components\QuantityController                                                                                                |          2 |         96 |          0 |          9 |        105 |
| src\components\RegisterHeader                                                                                                    |          2 |         21 |          0 |          4 |         25 |
| src\components\checkbox                                                                                                          |          1 |         31 |          0 |          5 |         36 |
| src\components\checkbox copy                                                                                                     |          1 |         22 |          0 |          4 |         26 |
| src\components\dropdown                                                                                                          |          1 |        274 |          7 |         18 |        299 |
